ADM       	E600      	E
ADM       	E02       	E
ADM       	E586      	E
ADM       	E587      	E
ADM       	E588      	E
ADM       	ESIG      	E
ADM       	0000000009	E
ADM       	0000000002	E
ADM       	0000000037	E
ADM       	E01       	E
ADM       	0000000035	E
ADM       	ANFAC00001	E
ADM       	0000000021	E
ADM       	0000000034	E
ADM       	0000000028	E
ADM       	E575      	E
ADM       	E566      	E
ADM       	0000000013	E
ADM       	E627      	E
ADM       	E631      	E
ADM       	E623      	E
ADM       	E597      	E
ADM       	E598      	E
ADM       	0000000039	E
ADM       	E570      	E
ADM       	E580      	E
ADM       	E581      	E
ADM       	0000000005	E
ADM       	0000000004	E
ADM       	0000000029	E
ADM       	0000000036	E
ADM       	0000000001	E
ADM       	COLEGFIRMA	E
ADM       	E594      	E
ADM       	E596      	E
ADM       	E604      	E
ADM       	E595      	E
ADM       	E590      	E
ADM       	E558      	E
ADM       	E593      	E
ADM       	E569      	E
ADM       	E577      	E
ADM       	E504      	E
ADM       	E508      	E
ADM       	E589      	E
ADM       	E625      	E
ADM       	E624      	E
ADM       	E621      	E
ADM       	E622      	E
ADM       	0000000008	E
ADM       	E506      	E
ADM       	0000000007	E
ADM       	E501      	E
ADM       	E503      	E
ADM       	E601      	E
ADM       	E559      	E
ADM       	E560      	E
ADM       	0000000031	E
ADM       	0000000032	E
ADM       	E578      	E
ADM       	E579      	E
ADM       	E512      	E
ADM       	E583      	E
ADM       	E         	E
ADM       	0000000012	E
ADM       	0000000014	E
ADM       	E505      	E
ADM       	E576      	E
ADM       	E567      	E
ADM       	0000000019	E
ADM       	E510      	E
ADM       	0000000030	E
ADM       	FEW       	E
ADM       	E629      	E
ADM       	E628      	E
ADM       	E630      	E
ADM       	E632      	E
ADM       	E585      	E
ADM       	E626      	E
ADM       	0000000062	E
ADM       	E565      	E
ADM       	E574      	E
ADM       	E562      	E
ADM       	0000000011	E
ADM       	E552      	E
ADM       	E553      	E
ADM       	0000000016	E
ADM       	0000000033	E
ADM       	E539      	E
ADM       	E530      	E
ADM       	E533      	E
ADM       	E535      	E
ADM       	E536      	E
ADM       	E531      	E
ADM       	E532      	E
ADM       	E549      	E
ADM       	E548      	E
ADM       	E551      	E
ADM       	E555      	E
ADM       	E571      	E
ADM       	E550      	E
ADM       	E554      	E
ADM       	0000000023	E
ADM       	E523      	E
ADM       	E572      	E
ADM       	MANTSERIES	E
ADM       	0000000015	E
ADM       	ZGZ0000026	E
ADM       	E513      	E
ADM       	E514      	E
ADM       	E564      	E
ADM       	E573      	E
ADM       	0000000038	E
ADM       	TFE0000037	E
ADM       	TFE0000038	E
ADM       	TFE0000036	E
ADM       	E603      	E
ADM       	0000000020	E
ADM       	E522      	E
ADM       	E541      	E
ADM       	E540      	E
ADM       	E544      	E
ADM       	E521      	E
ADM       	E537      	E
ADM       	E543      	E
